_id,gb,fr,de,it,es,pl,el,ro,bg,da,sv,no,nl
$Dictionary~~The French Revolution constituted for the conscience of the dominant aristocratic class a fall from ,"",La Révolution française a constitué pour la conscience de la classe aristocratique dominante une chute de,Die Französische Revolution bildete für das Gewissen der herrschenden Adelsschicht einen Sturz aus,La rivoluzione francese costituì una caduta per la coscienza della classe aristocratica dominante,La Revolución Francesa constituyó para la conciencia de la clase aristocrática dominante una caída de,Rewolucja Francuska stanowiła dla sumienia dominującej klasy arystokratycznej upadek,Η Γαλλική Επανάσταση αποτελούσε πτώση για τη συνείδηση της κυρίαρχης αριστοκρατικής τάξης,Revoluția franceză a constituit pentru conștiința clasei aristocratice dominante o cădere din,Френската революция представлява спад на съвестта на доминиращата аристократична класа,"",Den franska revolutionen utgjorde för samvete för den dominerande aristokratiska klassen ett fall från,"",De Franse revolutie vormde een val voor het geweten van de dominante aristocratische klasse
"$Dictionary~~The world has become so fast paced that people don’t want to stand by reading a page of information, they would much rather look at a presentation and understand the message. It has come to a point ","","Le monde est devenu si rapide que les gens ne veulent pas lire une page d&#39;informations, ils préfèrent regarder une présentation et comprendre le message. Il est arrivé à un point","Die Welt ist so schnelllebig geworden, dass die Menschen nicht länger eine Informationsseite lesen möchten, sondern lieber eine Präsentation ansehen und die Botschaft verstehen möchten. Es ist zu einem Punkt gekommen","Il mondo è diventato così veloce che la gente non vuole stare a leggere una pagina di informazioni, preferirebbe piuttosto guardare una presentazione e capire il messaggio. È arrivato al punto","El mundo se ha acelerado tanto que las personas no quieren quedarse leyendo una página de información, prefieren mirar una presentación y entender el mensaje. Ha llegado a un punto","","","Lumea a devenit atât de rapidă încât oamenii nu vor să stea citind o pagină de informații, mai degrabă ar privi mai degrabă o prezentare și să înțeleagă mesajul. S-a ajuns la un punct","Светът стана толкова бърз, че хората не искат да стоят, като четат страница с информация, по-скоро биха погледнали презентация и разберат съобщението. Стигна се до някакъв момент","","Världen har blivit så snabb att folk inte vill stå och läsa en informationssida, de vill hellre titta på en presentation och förstå meddelandet. Det har kommit till en punkt","","De wereld is zo snel geworden dat mensen niet willen blijven staan bij het lezen van een pagina met informatie, ze kijken liever naar een presentatie en begrijpen de boodschap. Het is zover gekomen"
"$Dictionary~~The world has become so fast paced that people don’t want to stand by reading a page of information, they would much rather look at a presentation andn                            understand the message. It has come to a point ","","Le monde est devenu si rapide que les gens ne veulent pas lire une page d&#39;informations, ils préfèrent regarder une présentation et comprendre le message. Il est arrivé à un point","Die Welt ist so schnelllebig geworden, dass die Menschen nicht länger eine Informationsseite lesen möchten, sondern lieber eine Präsentation ansehen und die Botschaft verstehen möchten. Es ist zu einem Punkt gekommen","Il mondo è diventato così veloce che la gente non vuole stare a leggere una pagina di informazioni, preferirebbe piuttosto guardare una presentazione e capire il messaggio. È arrivato al punto","El mundo se ha acelerado tanto que las personas no quieren quedarse leyendo una página de información, prefieren mirar una presentación y entender el mensaje. Ha llegado a un punto","Świat stał się tak szybki, że ludzie nie chcą stać, czytając stronę z informacjami, wolą raczej spojrzeć na prezentację i zrozumieć przesłanie. Doszło do punktu","Ο κόσμος έχει γίνει τόσο γρήγορος ρυθμός ώστε οι άνθρωποι δεν θέλουν να σταθούν διαβάζοντας μια σελίδα πληροφοριών, θα προτιμούσαν πολύ να δουν μια παρουσίαση και να καταλάβουν το μήνυμα. Έχει φτάσει σε ένα σημείο","Lumea a devenit atât de rapidă încât oamenii nu vor să stea citind o pagină de informații, mai degrabă ar privi mai degrabă o prezentare și să înțeleagă mesajul. S-a ajuns la un punct","Светът стана толкова бърз, че хората не искат да стоят, като четат страница с информация, по-скоро биха погледнали презентация и разберат съобщението. Стигна се до някакъв момент","","Världen har blivit så snabb att folk inte vill stå och läsa en informationssida, de vill hellre titta på en presentation och förstå meddelandet. Det har kommit till en punkt","","De wereld is zo snel geworden dat mensen niet willen blijven staan bij het lezen van een pagina met informatie, ze kijken liever naar een presentatie en begrijpen de boodschap. Het is zover gekomen"
$Dictionary~~Travel,"",Voyage,Reise,Viaggio,Viajar,Podróżować,Ταξίδι,Călătorie,пътуване,"",Resa,"",Reizen
$Dictionary~~Usage of the Internet is becoming more common due to rapid advancement of technology and power.,"",L&#39;utilisation d&#39;Internet devient de plus en plus courante en raison des progrès rapides de la technologie et du pouvoir.,Die Nutzung des Internets wird aufgrund des raschen Fortschritts von Technologie und Leistung immer häufiger.,L&#39;uso di Internet sta diventando più comune a causa del rapido progresso della tecnologia e del potere.,El uso de Internet se está volviendo más común debido al rápido avance de la tecnología y el poder.,Korzystanie z Internetu staje się coraz powszechniejsze ze względu na szybki postęp technologii i mocy.,Η χρήση του Διαδικτύου γίνεται όλο και πιο κοινή λόγω της ταχείας εξέλιξης της τεχνολογίας και της εξουσίας.,Utilizarea Internetului devine din ce în ce mai frecventă datorită avansării rapide a tehnologiei și a puterii.,Използването на интернет става все по-често поради бързото развитие на технологиите и мощността.,"",Användning av Internet blir allt vanligare på grund av snabb utveckling av teknik och kraft.,"",Gebruik van internet wordt steeds gebruikelijker vanwege de snelle vooruitgang van technologie en kracht.
"$Dictionary~~We all live in an age that belongs to the young at heart. Life that is becoming extremely fast, ","","Nous vivons tous à une époque qui appartient aux jeunes de cœur. La vie qui devient extrêmement rapide,","Wir alle leben in einer Zeit, die den Junggebliebenen gehört. Leben, das extrem schnell wird,","Viviamo tutti in un&#39;età che appartiene ai giovani di cuore. La vita che sta diventando estremamente veloce,","Todos vivimos en una época que pertenece a los jóvenes de corazón. La vida se está volviendo extremadamente rápida,","Wszyscy żyjemy w wieku, który należy do młodych duchem. Życie, które staje się niezwykle szybkie,","Όλοι ζούμε σε μια εποχή που ανήκει στους νέους στην καρδιά. Η ζωή που γίνεται εξαιρετικά γρήγορη,","Cu toții trăim într-o epocă care aparține celor mici din suflet. Viața care devine extrem de rapidă,","Всички живеем във епоха, която принадлежи на младите по сърце. Живот, който става изключително бърз,","","Vi lever alla i en ålder som tillhör de unga i hjärtat. Livet som håller på att bli extremt snabbt,","","We leven allemaal in een tijdperk dat hoort bij de jongeren van hart. Leven dat extreem snel wordt,"
$Dictionary~~Who are in extremely love with eco friendly system.,"",Qui sont extrêmement amoureux du système écologique.,Wer sind extrem verliebt in umweltfreundliche System.,Chi è estremamente innamorato del sistema eco-compatibile.,Quienes están extremadamente enamorados del sistema ecológico.,Którzy są wyjątkowo zakochani w systemie przyjaznym dla środowiska.,Ποιοι είναι σε εξαιρετικά αγάπη με φιλικό προς το περιβάλλον σύστημα.,Cei care sunt extrem de îndrăgostiți de un sistem ecologic.,Които са изключително влюбени в екологичната система.,"",Som är mycket kär i miljövänliga system.,"",Die extreem verliefd zijn op een milieuvriendelijk systeem.
"$Dictionary~~Why do you want to motivate yourself? Actually, just answering that question fully can ","","Pourquoi voulez-vous vous motiver? En fait, le simple fait de répondre à cette question peut",Warum willst du dich motivieren? Eigentlich kann nur die vollständige Beantwortung dieser Frage,"Perché vuoi motivarti? In realtà, basta rispondere a questa domanda pienamente","¿Por qué quieres motivarte? En realidad, solo responder esa pregunta completamente puede",Dlaczego chcesz się zmotywować? Właściwie to wystarczy odpowiedzieć na to pytanie w pełni,"Γιατί θέλετε να παρακινήσετε τον εαυτό σας; Στην πραγματικότητα, απλά απαντώντας σε αυτό το ερώτημα μπορεί να γίνει","De ce vrei să te motivezi? De fapt, poate răspunde la această întrebare pe deplin",Защо искате да се мотивирате? Всъщност просто отговорът на този въпрос може,"",Varför vill du motivera dig själv? Det är faktiskt bara att besvara den frågan fullt ut,"",Waarom wil je jezelf motiveren? Eigenlijk kan alleen die vraag volledig beantwoorden
$Dictionary~~Younger,"",Plus jeune,Jünger,Minore,Mas joven,"","",Mai tanara,По-млад,"",Yngre,"",Jonger
"$Dictionary~~inappropriate behavior is often laughed off as “boys will be boys,” women face higher conduct standards especially in the workplace. That’s why it’s crucial that, as women, our behavior on the job is beyond reproach. inappropriate behavior is often laughed.","","On se moque souvent des comportements inappropriés car «les garçons seront des garçons», les femmes sont soumises à des normes de conduite plus élevées, en particulier sur leur lieu de travail. C&#39;est pourquoi il est crucial qu&#39;en tant que femmes, notre comportement au travail soit irréprochable. comportement inapproprié est souvent ri.","unangemessenes Verhalten wird oft ausgelacht, da „Jungen Jungen sein werden“. Frauen sehen sich insbesondere am Arbeitsplatz höheren Verhaltensstandards gegenüber. Deshalb ist es entscheidend, dass unser Verhalten bei der Arbeit für Frauen über jeden Zweifel erhaben ist. unangemessenes Verhalten wird oft ausgelacht.","comportamenti inappropriati vengono spesso derisi poiché &quot;i ragazzi saranno ragazzi&quot;, le donne devono affrontare standard di condotta più elevati, soprattutto sul posto di lavoro. Ecco perché è fondamentale che, come donne, il nostro comportamento sul lavoro sia irreprensibile. il comportamento inappropriato viene spesso deriso.","El comportamiento inapropiado a menudo se ríe porque &quot;los niños serán niños&quot;, las mujeres enfrentan estándares de conducta más altos, especialmente en el lugar de trabajo. Por eso es crucial que, como mujeres, nuestro comportamiento en el trabajo esté más allá de cualquier reproche. El comportamiento inapropiado a menudo se ríe.","niewłaściwe zachowanie jest często wyśmiewane, ponieważ „chłopcy będą chłopcami”, kobiety napotykają wyższe standardy postępowania, szczególnie w miejscu pracy. Dlatego tak ważne jest, aby jako kobiety nasze zachowanie w pracy było bez zarzutu. niewłaściwe zachowanie jest często wyśmiewane.","η ακατάλληλη συμπεριφορά συχνά λυπάται γιατί «τα αγόρια θα είναι αγόρια», οι γυναίκες αντιμετωπίζουν υψηλότερα πρότυπα συμπεριφοράς, ιδίως στον εργασιακό χώρο. Αυτός είναι ο λόγος για τον οποίο είναι πολύ σημαντικό, όπως και οι γυναίκες, η συμπεριφορά μας στη δουλειά να είναι πέρα από την κατηγορία. η ακατάλληλη συμπεριφορά συχνά γέλασε.","comportamentul inadecvat este adesea râs deoarece „băieții vor fi băieți”, femeile se confruntă cu standarde de conduită mai ridicate, în special la locul de muncă. De aceea este crucial ca, în calitate de femei, comportamentul nostru la locul de muncă să fie dincolo de reproșuri. comportamentul neadecvat este adesea râs.","често се смее неподходящото поведение, тъй като „момчетата ще бъдат момчета“, жените са изправени пред по-високи стандарти на поведение, особено на работното място. Ето защо е изключително важно, като жени, нашето поведение в работата е извън укор. често се смее неподходящо поведение.","","Otillräckligt beteende skrattas ofta eftersom &quot;pojkar kommer att vara pojkar&quot;, kvinnor möter högre uppförandestandarder, särskilt på arbetsplatsen. Det är därför det är avgörande att vårt beteende på jobbet som kvinnor är överklagat. olämpligt beteende skrattas ofta.","","ongepast gedrag wordt vaak uitgelachen omdat &quot;jongens jongens zullen zijn&quot;, vrouwen worden geconfronteerd met hogere gedragsnormen, vooral op de werkplek. Daarom is het van cruciaal belang dat ons gedrag als vrouw onberispelijk is. ongepast gedrag wordt vaak uitgelachen."
$Dictionary~~latest posts from blog,"",derniers articles du blog,Neueste Beiträge aus dem Blog,ultimi post dal blog,últimas publicaciones del blog,najnowsze posty z bloga,τις τελευταίες αναρτήσεις από το blog,ultimele postări de pe blog,последните публикации от блога,"",senaste inlägg från bloggen,"",laatste berichten van blog
$Dictionary~~next,"",suivant,Nächster,Il prossimo,próximo,Kolejny,Επόμενο,Următor →,следващия,"",Nästa,"",volgende
$Dictionary~~prev,"",prev,vorh,prev,prev,poprz,prev,prev,предишна,"",prev,"",prev
